universityCode,displayName,reading,aliases,sourceTitle,sourceUrl,status,notes
1005,旭川医大,,,,,review,あさひかわいだい
1010,小樽商大,,,,,review,おたるしょうだい
1015,帯広畜産大,,,,,review,おびひろちくさんだい
1020,北見工大,,,,,review,きたみこうだい
1025,北海道大,,,,,review,ほっかいどうだい
1030,北教大旭川校,,,,,review,きたきょうだいあさひかわこう
1035,北教大岩見沢校,,,,,review,きたきょうだいいわみざわこう
1040,北教大釧路校,,,,,review,きたきょうだいくしろこう
1045,北教大札幌校,,,,,review,きたきょうだいさっぽろこう
1050,北教大函館校,,,,,review,きたきょうだいはこだてこう
1055,室蘭工大,,,,,review,むろらんこうだい
1060,弘前大,,,,,review,ひろさきだい
1065,岩手大,,,,,review,いわてだい
1070,東北大,,,,,review,とうほくだい
1075,宮城教育大,,,,,review,みやぎきょういくだい
1080,秋田大,,,,,review,あきたまさる
1085,山形大,,,,,review,やまがただい
1090,福島大,,,,,review,ふくしまだい
1093,筑波技大,,,,,review,つくばぎだい
1095,茨城大,,,,,review,いばらきだい
1100,筑波大,,,,,review,つくばだい
1110,宇都宮大,,,,,review,うつのみやだい
1115,群馬大,,,,,review,ぐんまだい
1120,埼玉大,,,,,review,さいたまだい
1125,千葉大,,,,,review,ちばだい
1128,東京海洋大,,,,,review,とうきょうかいようだい
1130,お茶の水女子大,,,,,review,おちゃのみずじょしだい
1135,電気通信大,,,,,review,でんきつうしんだい
1140,東京大,,,,,review,とうきょうだい
1150,東京外大,,,,,review,とうきょうがいだい
1155,東京学芸大,,,,,review,とうきょうがくげいだい
1160,東京芸大,,,,,review,とうきょうげいだい
1165,東京科学大,,,,,review,とうきょうかがくだい
1180,東京農工大,,,,,review,とうきょうのうこうだい
1185,一橋大,,,,,review,ひとつばしだい
1190,横浜国立大,,,,,review,よこはまこくりつだい
1195,上越教育大,,,,,review,じょうえつきょういくだい
1200,長岡技術科学大,,,,,review,ながおかぎじゅつかがくだい
1205,新潟大,,,,,review,にいがただい
1210,富山大,,,,,review,とやまだい
1220,金沢大,,,,,review,かなざわだい
1225,福井大,,,,,review,ふくいまさる
1235,山梨大,,,,,review,やまなしだい
1245,信州大,,,,,review,しんしゅうだい
1250,岐阜大,,,,,review,ぎふだい
1255,静岡大,,,,,review,しずおかだい
1260,浜松医大,,,,,review,はままついだい
1265,愛知教育大,,,,,review,あいちきょういくだい
1270,豊橋技術科学大,,,,,review,とよはしぎじゅつかがくだい
1275,名古屋大,,,,,review,なごやだい
1280,名古屋工大,,,,,review,なごやこうだい
1285,三重大,,,,,review,みえだい
1290,滋賀大,,,,,review,しがだい
1295,滋賀医大,,,,,review,しがいだい
1300,京都大,,,,,review,きょうとだい
1305,京都教育大,,,,,review,きょうときょういくだい
1310,京都工芸繊維大,,,,,review,きょうとこうげいせんいだい
1315,大阪大,,,,,review,おおさかだい
1325,大阪教育大,,,,,review,おおさかきょういくだい
1330,神戸大,,,,,review,こうべだい
1340,兵庫教育大,,,,,review,ひょうごきょういくだい
1345,奈良教育大,,,,,review,ならきょういくだい
1350,奈良女子大,,,,,review,ならじょしだい
1355,和歌山大,,,,,review,わかやまだい
1360,鳥取大,,,,,review,とっとりだい
1365,島根大,,,,,review,しまねだい
1375,岡山大,,,,,review,おかやまだい
1380,広島大,,,,,review,ひろしまだい
1385,山口大,,,,,review,やまぐちだい
1390,徳島大,,,,,review,とくしまだい
1395,鳴門教育大,,,,,review,なるときょういくだい
1400,香川大,,,,,review,かがわだい
1410,愛媛大,,,,,review,えひめだい
1415,高知大,,,,,review,こうちだい
1425,九州大,,,,,review,きゅうしゅうだい
1435,九州工大,,,,,review,きゅうしゅうこうだい
1440,福岡教育大,,,,,review,ふくおかきょういくだい
1445,佐賀大,,,,,review,さがだい
1455,長崎大,,,,,review,ながさきだい
1460,熊本大,,,,,review,くまもとだい
1465,大分大,,,,,review,だいぶだい
1475,宮崎大,,,,,review,みやざきだい
1485,鹿児島大,,,,,review,かごしまだい
1490,鹿屋体育大,,,,,review,かのやたいいくだい
1495,琉球大,,,,,review,りゅうきゅうだい
2003,はこだて未来大,,,,,review,はこだてみらいだい
2004,札幌市立大,,,,,review,さっぽろしりつだい
2005,釧路公立大,,,,,review,くしろこうりつだい
2006,名寄市立大,,,,,review,なよろしりつだい
2007,千歳科学技大,,,,,review,ちとせかがくわざだい
2008,旭川市立大,,,,,review,あさひかわしりつだい
2010,札幌医大,,,,,review,さっぽろいだい
2013,青森県立保健大,,,,,review,あおもりけんりつほけんだい
2015,青森公立大,,,,,review,あおもりこうりつだい
2018,岩手県立大,,,,,review,いわてけんりつだい
2023,宮城大,,,,,review,みやぎまさる
2028,秋田県立大,,,,,review,あきたけんりつだい
2029,秋田公立美大,,,,,review,あきたこうりつびだい
2030,国際教養大,,,,,review,こくさいきょうようだい
2033,山形県米沢栄大,,,,,review,やまがたけんよねざわさかえまさる
2034,東北農林職大,,,,,review,とうほくのうりんしょくだい
2035,山形保健医療大,,,,,review,やまがたほけんいりょうだい
2040,会津大,,,,,review,あいづだい
2045,福島県立医大,,,,,review,ふくしまけんりついだい
2050,茨城県立医療大,,,,,review,いばらきけんりついりょうだい
2058,前橋工科大,,,,,review,まえばしこうかだい
2059,群馬健康科学大,,,,,review,ぐんまけんこうかがくだい
2060,群馬県立女子大,,,,,review,ぐんまけんりつじょしだい
2065,高崎経大,,,,,review,たかさききょうだい
2070,埼玉県立大,,,,,review,さいたまけんりつだい
2075,千葉保健医療大,,,,,review,ちばほけんいりょうだい
2079,東京都立大,,,,,review,とうきょうとりつだい
2088,神奈川保福大,,,,,review,かながわたもつふくだい
2089,川崎市立看護大,,,,,review,かわさきしりつかんごだい
2090,横浜市立大,,,,,review,よこはましりつだい
2093,新潟県立看護大,,,,,review,にいがたけんりつかんごだい
2094,新潟県立大,,,,,review,にいがたけんりつだい
2095,長岡造形大,,,,,review,ながおかぞうけいだい
2096,三条市立大,,,,,review,さんじょうしりつだい
2100,富山県立大,,,,,review,とやまけんりつだい
2103,石川県立看護大,,,,,review,いしかわけんりつかんごだい
2104,石川県立大,,,,,review,いしかわけんりつだい
2105,金沢美術工芸大,,,,,review,かなざわびじゅつこうげいだい
2106,公立小松大,,,,,review,こうりつこまつまさる
2108,敦賀市立看護大,,,,,review,つるがしりつかんごだい
2110,福井県立大,,,,,review,ふくいけんりつだい
2114,山梨県立大,,,,,review,やまなしけんりつだい
2115,都留文科大,,,,,review,つるぶんかだい
2118,長野大,,,,,review,ながのまさる
2119,長野県立大,,,,,review,ながのけんりつだい
2120,長野県看護大,,,,,review,ながのけんかんごだい
2121,諏訪東京理大,,,,,review,すわとうきょうみちひろ
2123,岐阜県立看護大,,,,,review,ぎふけんりつかんごだい
2125,岐阜薬大,,,,,review,ぎふやくだい
2128,静岡文化芸大,,,,,review,しずおかぶんかげいだい
2129,静岡農林職大,,,,,review,しずおかのうりんしょくだい
2130,静岡県立大,,,,,review,しずおかけんりつだい
2135,愛知県立大,,,,,review,あいちけんりつだい
2145,愛知県立芸大,,,,,review,あいちけんりつげいだい
2150,名古屋市立大,,,,,review,なごやしりつだい
2153,三重県立看護大,,,,,review,みえけんりつかんごだい
2160,滋賀県立大,,,,,review,しがけんりつだい
2163,福知山公立大,,,,,review,ふくちやまこうりつだい
2165,京都市立芸大,,,,,review,きょうとしりつげいだい
2170,京都府立大,,,,,review,きょうとふりつだい
2175,京都府立医大,,,,,review,きょうとふりついだい
2178,大阪公立大,,,,,review,おおさかこうりつだい
2198,神戸市看護大,,,,,review,こうべしかんごだい
2199,兵庫県立大,,,,,review,ひょうごけんりつだい
2200,神戸市外大,,,,,review,こうべしがいだい
2201,芸術文観光職大,,,,,review,げいじゅつぶんかんこうしょくだい
2220,奈良県立医大,,,,,review,ならけんりついだい
2225,奈良県立大,,,,,review,ならけんりつだい
2230,和歌山県立医大,,,,,review,わかやまけんりついだい
2235,公立鳥取環境大,,,,,review,こうりつとっとりかんきょうだい
2240,島根県立大,,,,,review,しまねけんりつだい
2243,新見公立大,,,,,review,にいみこうりつだい
2245,岡山県立大,,,,,review,おかやまけんりつだい
2249,尾道市立大,,,,,review,おのみちしりつだい
2251,県立広島大,,,,,review,けんりつひろしままさる
2252,福山市立大,,,,,review,ふくやましりつだい
2253,叡啓大,,,,,review,えいけいた
2260,広島市立大,,,,,review,ひろしましりつだい
2263,山口東京理科大,,,,,review,やまぐちとうきょうりかだい
2264,周南公立大,,,,,review,しゅうなんこうりつだい
2265,下関市立大,,,,,review,しものせきしりつだい
2270,山口県立大,,,,,review,やまぐちけんりつだい
2280,香川保健医療大,,,,,review,かがわほけんいりょうだい
2285,愛媛医療技術大,,,,,review,えひめいりょうぎじゅつだい
2288,高知工科大,,,,,review,こうちこうかだい
2290,高知県立大,,,,,review,こうちけんりつだい
2295,北九州市立大,,,,,review,きたきゅうしゅうしりつだい
2300,九州歯大,,,,,review,きゅうしゅうはだい
2305,福岡県立大,,,,,review,ふくおかけんりつだい
2310,福岡女子大,,,,,review,ふくおかじょしだい
2320,長崎県立大,,,,,review,ながさきけんりつだい
2325,熊本県立大,,,,,review,くまもとけんりつだい
2328,大分看護科学大,,,,,review,だいぶかんごかがくだい
2333,宮崎県立看護大,,,,,review,みやざきけんりつかんごだい
2335,宮崎公立大,,,,,review,みやざきこうりつだい
2343,沖縄県立看護大,,,,,review,おきなわけんりつかんごだい
2344,名桜大,,,,,review,めいおうだい
2345,沖縄県立芸大,,,,,review,おきなわけんりつげいだい
3002,札幌大,,,,,review,さっぽろだい
3003,札幌学院大,,,,,review,さっぽろがくいんだい
3004,札幌国際大,,,,,review,さっぽろこくさいだい
3005,星槎道都大,,,,,review,せいさどうとだい
3006,函館大,,,,,review,はこだてだい
3007,藤女子大,,,,,review,ふじじょしだい
3008,北星学園大,,,,,review,ほくせいがくえんだい
3009,北海学園大,,,,,review,ほっかいがくえんだい
3010,北海商大,,,,,review,ほっかいしょうだい
3011,北海道医療大,,,,,review,ほっかいどういりょうだい
3012,北海道科学大,,,,,review,ほっかいどうかがくだい
3013,北海道情報大,,,,,review,ほっかいどうじょうほうだい
3016,酪農学園大,,,,,review,らくのうがくえんだい
3017,北翔大,,,,,review,ほくしょうまさる
3018,北洋大,,,,,review,ほくようだい
3020,日赤北海道看大,,,,,review,にっせきほっかいどうかんだい
3021,北海道文教大,,,,,review,ほっかいどうぶんきょうだい
3022,天使大,,,,,review,てんしだい
3023,育英館大,,,,,review,いくえいかんだい
3024,札幌大谷大,,,,,review,さっぽろおおたにまさる
3025,札幌保健医療大,,,,,review,さっぽろほけんいりょうだい
3026,日本医療大,,,,,review,にほんいりょうだい
3027,千歳リハビリ大,,,,,review,ちとせりはびりだい
3028,北海道武蔵女大,,,,,review,ほっかいどうむさしおんなだい
3041,青森大,,,,,review,あおもりだい
3042,柴田学園大,,,,,review,しばたがくえんだい
3043,八戸学院大,,,,,review,はちのへがくいんだい
