'大学ｺｰﾄﾞ,'学部ｺｰﾄﾞ,'学科ｺｰﾄﾞ,'日程ｺｰﾄﾞ,'方式ｺｰﾄﾞ,'小分類CD,'大学名,'学部名,'学科名,'日程,'入試方式,'小分類名,'募集単位,'県CD
'1005,'55,'00,'0,'0,'601,'旭川医大　　　,'医　　　,'　　　　　　,'　,'　　　,'医　　　　,'0,'01
'1005,'55,'01,'0,'0,'601,'旭川医大　　　,'医　　　,'医　　　　　,'　,'　　　,'医　　　　,'1,'01
'1005,'55,'02,'0,'0,'651,'旭川医大　　　,'医　　　,'看護　　　　,'　,'　　　,'看護　　　,'1,'01
'1010,'20,'00,'0,'0,'201,'小樽商大　　　,'商　　　,'　　　　　　,'　,'　　　,'法学　　　,'1,'01
'1010,'24,'00,'0,'0,'201,'小樽商大　　　,'商夜　　,'　　　　　　,'　,'　　　,'法学　　　,'1,'01
'1015,'74,'00,'0,'0,'504,'帯広畜産大　　,'畜産　　,'　　　　　　,'　,'　　　,'生物学　　,'0,'01
'1015,'74,'05,'0,'0,'504,'帯広畜産大　　,'畜産　　,'畜産科学　　,'　,'　　　,'生物学　　,'1,'01
'1015,'74,'06,'0,'0,'705,'帯広畜産大　　,'畜産　　,'共同獣医学　,'　,'　　　,'獣医学　　,'1,'01
'1020,'46,'00,'0,'0,'505,'北見工大　　　,'工　　　,'　　　　　　,'　,'　　　,'地球科学　,'0,'01
'1020,'46,'12,'0,'0,'505,'北見工大　　　,'工　　　,'先進工　　　,'　,'　　　,'地球科学　,'1,'01
'1025,'01,'00,'0,'0,'101,'北海道大　　　,'文　　　,'　　　　　　,'　,'　　　,'日本文学　,'0,'01
'1025,'01,'01,'0,'0,'101,'北海道大　　　,'文　　　,'人文科学　　,'　,'　　　,'日本文学　,'1,'01
'1025,'12,'00,'0,'0,'201,'北海道大　　　,'法　　　,'　　　　　　,'　,'　　　,'法学　　　,'0,'01
'1025,'12,'01,'0,'0,'201,'北海道大　　　,'法　　　,'法学　　　　,'　,'　　　,'法学　　　,'1,'01
'1025,'18,'00,'0,'0,'221,'北海道大　　　,'経済　　,'　　　　　　,'　,'　　　,'経済学　　,'1,'01
'1025,'30,'00,'0,'0,'105,'北海道大　　　,'教育　　,'　　　　　　,'　,'　　　,'心理学　　,'0,'01
'1025,'30,'01,'0,'0,'105,'北海道大　　　,'教育　　,'教育　　　　,'　,'　　　,'心理学　　,'1,'01
'1025,'55,'00,'0,'0,'601,'北海道大　　　,'医　　　,'　　　　　　,'　,'　　　,'医　　　　,'0,'01
'1025,'55,'01,'0,'0,'601,'北海道大　　　,'医　　　,'医　　　　　,'　,'　　　,'医　　　　,'1,'01
'1025,'55,'03,'0,'0,'651,'北海道大　　　,'医　　　,'保健／看護学,'　,'　　　,'看護　　　,'1,'01
'1025,'55,'04,'0,'0,'657,'北海道大　　　,'医　　　,'保健／放射線,'　,'　　　,'放射線技術,'1,'01
'1025,'55,'05,'0,'0,'658,'北海道大　　　,'医　　　,'保健／検査技,'　,'　　　,'検査技術　,'1,'01
'1025,'55,'06,'0,'0,'655,'北海道大　　　,'医　　　,'保健／理学療,'　,'　　　,'理学療法　,'1,'01
'1025,'55,'07,'0,'0,'656,'北海道大　　　,'医　　　,'保健／作業療,'　,'　　　,'作業療法　,'1,'01
'1025,'58,'00,'0,'0,'611,'北海道大　　　,'歯　　　,'　　　　　　,'　,'　　　,'歯　　　　,'0,'01
'1025,'58,'01,'0,'0,'611,'北海道大　　　,'歯　　　,'歯　　　　　,'　,'　　　,'歯　　　　,'1,'01
'1025,'73,'00,'0,'0,'708,'北海道大　　　,'水産　　,'　　　　　　,'　,'　　　,'水産学　　,'1,'01
'1025,'74,'00,'0,'0,'705,'北海道大　　　,'獣医　　,'　　　　　　,'　,'　　　,'獣医学　　,'0,'01
'1025,'74,'02,'0,'0,'705,'北海道大　　　,'獣医　　,'共同獣医学　,'　,'　　　,'獣医学　　,'1,'01
'1025,'91,'00,'0,'0,'101,'北海道大　　　,'総合文系,'　　　　　　,'　,'　　　,'日本文学　,'1,'01
'1025,'92,'00,'0,'0,'501,'北海道大　　　,'総合理系,'　　　　　　,'　,'　　　,'数学　　　,'1,'01
'1030,'30,'00,'0,'0,'301,'北教大旭川校　,'教育　　,'　　　　　　,'　,'　　　,'小学校　　,'0,'01
'1030,'30,'17,'0,'0,'105,'北教大旭川校　,'教育　　,'教員／教育発,'　,'　　　,'心理学　　,'1,'01
'1030,'30,'19,'0,'0,'301,'北教大旭川校　,'教育　　,'教員／国語　,'　,'　　　,'小学校　　,'1,'01
'1030,'30,'20,'0,'0,'301,'北教大旭川校　,'教育　　,'教員／英語　,'　,'　　　,'小学校　　,'1,'01
'1030,'30,'27,'0,'0,'301,'北教大旭川校　,'教育　　,'教員／社会　,'　,'　　　,'小学校　　,'1,'01
'1030,'30,'28,'0,'0,'301,'北教大旭川校　,'教育　　,'教員／数学　,'　,'　　　,'小学校　　,'1,'01
'1030,'30,'29,'0,'0,'301,'北教大旭川校　,'教育　　,'教員／理科　,'　,'　　　,'小学校　　,'1,'01
'1030,'30,'30,'0,'0,'301,'北教大旭川校　,'教育　　,'教員／生活技,'　,'　　　,'小学校　　,'1,'01
'1030,'30,'32,'0,'0,'301,'北教大旭川校　,'教育　　,'教員／音楽　,'　,'　　　,'小学校　　,'1,'01
'1030,'30,'33,'0,'0,'301,'北教大旭川校　,'教育　　,'教員／美術　,'　,'　　　,'小学校　　,'1,'01
'1030,'30,'34,'0,'0,'301,'北教大旭川校　,'教育　　,'教員／保健体,'　,'　　　,'小学校　　,'1,'01
'1035,'30,'00,'0,'0,'316,'北教大岩見沢校,'教育　　,'　　　　　　,'　,'　　　,'０免課程　,'0,'01
'1035,'30,'21,'0,'0,'222,'北教大岩見沢校,'教育　　,'芸術／芸術ス,'　,'　　　,'経営学・商,'1,'01
'1035,'30,'22,'0,'0,'316,'北教大岩見沢校,'教育　　,'芸術／声楽　,'　,'　　　,'０免課程　,'1,'01
'1035,'30,'23,'0,'0,'316,'北教大岩見沢校,'教育　　,'芸術／鍵・作,'　,'　　　,'０免課程　,'1,'01
'1035,'30,'24,'0,'0,'316,'北教大岩見沢校,'教育　　,'芸術／管弦打,'　,'　　　,'０免課程　,'1,'01
'1035,'30,'25,'0,'0,'316,'北教大岩見沢校,'教育　　,'芸術／音楽教,'　,'　　　,'０免課程　,'1,'01
'1035,'30,'33,'0,'0,'316,'北教大岩見沢校,'教育　　,'芸術／美術文,'　,'　　　,'０免課程　,'1,'01
'1035,'30,'34,'0,'0,'316,'北教大岩見沢校,'教育　　,'芸術／スポー,'　,'　　　,'０免課程　,'1,'01
'1040,'30,'00,'0,'0,'105,'北教大釧路校　,'教育　　,'　　　　　　,'　,'　　　,'心理学　　,'0,'01
'1040,'30,'32,'0,'0,'105,'北教大釧路校　,'教育　　,'教員／地域学,'　,'　　　,'心理学　　,'1,'01
'1045,'30,'00,'0,'0,'301,'北教大札幌校　,'教育　　,'　　　　　　,'　,'　　　,'小学校　　,'0,'01
'1045,'30,'20,'0,'0,'301,'北教大札幌校　,'教育　　,'教員／特別支,'　,'　　　,'小学校　　,'1,'01
'1045,'30,'21,'0,'0,'314,'北教大札幌校　,'教育　　,'教員／養護教,'　,'　　　,'養護　　　,'1,'01
'1045,'30,'24,'0,'0,'105,'北教大札幌校　,'教育　　,'教員／学校教,'　,'　　　,'心理学　　,'1,'01
'1045,'30,'25,'0,'0,'301,'北教大札幌校　,'教育　　,'教員／言語社,'　,'　　　,'小学校　　,'1,'01
'1045,'30,'26,'0,'0,'301,'北教大札幌校　,'教育　　,'教員／理数教,'　,'　　　,'小学校　　,'1,'01
'1045,'30,'27,'0,'0,'301,'北教大札幌校　,'教育　　,'教員／生活創,'　,'　　　,'小学校　　,'1,'01
'1045,'30,'28,'0,'0,'301,'北教大札幌校　,'教育　　,'教員／図画工,'　,'　　　,'小学校　　,'1,'01
'1045,'30,'29,'0,'0,'301,'北教大札幌校　,'教育　　,'教員／音楽　,'　,'　　　,'小学校　　,'1,'01
'1045,'30,'30,'0,'0,'301,'北教大札幌校　,'教育　　,'教員／保健体,'　,'　　　,'小学校　　,'1,'01
'1050,'30,'00,'0,'0,'316,'北教大函館校　,'教育　　,'　　　　　　,'　,'　　　,'０免課程　,'0,'01
'1050,'30,'32,'0,'0,'261,'北教大函館校　,'教育　　,'国際／国際協,'　,'　　　,'国際関係学,'1,'01
'1050,'30,'33,'0,'0,'202,'北教大函館校　,'教育　　,'国際／地域政,'　,'　　　,'政治学　　,'1,'01
'1050,'30,'34,'0,'0,'316,'北教大函館校　,'教育　　,'国際／地域環,'　,'　　　,'０免課程　,'1,'01
'1050,'30,'35,'0,'0,'301,'北教大函館校　,'教育　　,'国際／地域教,'　,'　　　,'小学校　　,'1,'01
'1055,'47,'00,'0,'0,'502,'室蘭工大　　　,'理工　　,'　　　　　　,'　,'　　　,'物理学　　,'0,'01
'1055,'47,'01,'0,'0,'551,'室蘭工大　　　,'理工　　,'創造工　　　,'　,'　　　,'機械工学　,'1,'01
'1055,'47,'02,'0,'0,'502,'室蘭工大　　　,'理工　　,'システム理化,'　,'　　　,'物理学　　,'1,'01
'1055,'53,'00,'0,'0,'551,'室蘭工大　　　,'理工夜　,'　　　　　　,'　,'　　　,'機械工学　,'0,'01
'1055,'53,'01,'0,'0,'551,'室蘭工大　　　,'理工夜　,'創造工　　　,'　,'　　　,'機械工学　,'1,'01
'1060,'27,'00,'0,'0,'106,'弘前大　　　　,'人文社会,'　　　　　　,'　,'　　　,'文化学　　,'0,'02
